dx,dy,dz,x,y,z,delay,index
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,999
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1000
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1001
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1002
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1003
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1004
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1005
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1006
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1007
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1008
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1009
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1010
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1011
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1012
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1013
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1014
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1015
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1016
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1017
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1018
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1019
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1020
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1021
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1022
0.0,0.0,0.0,-0.169683675872685,-0.417539492809177,-0.892674757169143,0,1023
0.30067846212528904,0.653514713115623,-0.070214676450293,0.130994786252604,0.235975220306446,-0.962889433619436,1,1024
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1025
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1026
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1027
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1028
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1029
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1030
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1031
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1032
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1033
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1034
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1035
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1036
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1037
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1038
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1039
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1040
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1041
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1042
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1043
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1044
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1045
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1046
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1047
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1048
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1049
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1050
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1051
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1052
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1053
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1054
0.0,0.0,0.0,0.130994786252604,0.235975220306446,-0.962889433619436,0,1055
-0.130994786252604,-0.235975220306446,0.962889433619436,0.0,0.0,0.0,1,1056
0.0,0.0,0.0,0.0,0.0,0.0,0,1057
0.0,0.0,0.0,0.0,0.0,0.0,0,1058
0.0,0.0,0.0,0.0,0.0,0.0,0,1059
0.0,0.0,0.0,0.0,0.0,0.0,0,1060
0.0,0.0,0.0,0.0,0.0,0.0,0,1061
0.0,0.0,0.0,0.0,0.0,0.0,0,1062
0.0,0.0,0.0,0.0,0.0,0.0,0,1063
0.0,0.0,0.0,0.0,0.0,0.0,0,1064
0.0,0.0,0.0,0.0,0.0,0.0,0,1065
0.0,0.0,0.0,0.0,0.0,0.0,0,1066
0.0,0.0,0.0,0.0,0.0,0.0,0,1067
0.0,0.0,0.0,0.0,0.0,0.0,0,1068
0.0,0.0,0.0,0.0,0.0,0.0,0,1069
0.0,0.0,0.0,0.0,0.0,0.0,0,1070
0.0,0.0,0.0,0.0,0.0,0.0,0,1071
0.0,0.0,0.0,0.0,0.0,0.0,0,1072
0.0,0.0,0.0,0.0,0.0,0.0,0,1073
0.0,0.0,0.0,0.0,0.0,0.0,0,1074
0.0,0.0,0.0,0.0,0.0,0.0,0,1075
0.0,0.0,0.0,0.0,0.0,0.0,0,1076
0.0,0.0,0.0,0.0,0.0,0.0,0,1077
0.0,0.0,0.0,0.0,0.0,0.0,0,1078
0.0,0.0,0.0,0.0,0.0,0.0,0,1079
0.0,0.0,0.0,0.0,0.0,0.0,0,1080
0.0,0.0,0.0,0.0,0.0,0.0,0,1081
0.0,0.0,0.0,0.0,0.0,0.0,0,1082
0.0,0.0,0.0,0.0,0.0,0.0,0,1083
0.0,0.0,0.0,0.0,0.0,0.0,0,1084
0.0,0.0,0.0,0.0,0.0,0.0,0,1085
0.0,0.0,0.0,0.0,0.0,0.0,0,1086
0.0,0.0,0.0,0.0,0.0,0.0,0,1087
